# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoads,1773601566998000000,1773601587505000000,47
StorageLockContext.competingThreads.90P,1773601566998000000,1773601587505000000,0
FilePageCache.uncachedFileAccess,1773601566998000000,1773601587505000000,52
FilePageCache.totalPageLoadsUs,1773601566998000000,1773601587505000000,31338
FilePageCache.pageFastCacheHits,1773601566998000000,1773601587505000000,3171
FilePageCache.disposedBuffers,1773601566998000000,1773601587505000000,47
StorageLockContext.competingThreads.avg,1773601566998000000,1773601587505000000,0.0
FilePageCache.capacityInBytes,1773601566998000000,1773601587505000000,629145600
FilePageCache.maxRegisteredFiles,1773601566998000000,1773601587505000000,114
DirectByteBufferAllocator.hits,1773601566998000000,1773601587505000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1773601566998000000,1773601587505000000,0
DirectByteBufferAllocator.disposed,1773601566998000000,1773601587505000000,47
DirectByteBufferAllocator.misses,1773601566998000000,1773601587505000000,47
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1773601566998000000,1773601587505000000,0
FilePageCache.totalPageDisposalsUs,1773601566998000000,1773601587505000000,188
FilePageCache.pageLoadsAboveSizeThreshold,1773601566998000000,1773601587505000000,0
FilePageCache.pageHits,1773601566998000000,1773601587505000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773601566998000000,1773601587505000000,0
DirectByteBufferAllocator.reclaimed,1773601566998000000,1773601587505000000,0
StorageLockContext.competingThreads.max,1773601566998000000,1773601587505000000,0
FilePageCache.maxCacheSizeInBytes,1773601566998000000,1773601587505000000,46137344
jps.load.initial.state.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1773601566998000000,1773601587505000000,0
workspaceModel.do.save.caches.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1773601566998000000,1773601587505000000,0
workspaceModel.save.cache.to.file.ms,1773601566998000000,1773601587505000000,0
jps.save.global.entities.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1773601566998000000,1773601587505000000,0
workspaceModel.load.cache.from.file.ms,1773601566998000000,1773601587505000000,0
workspaceModel.global.updates.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1773601566998000000,1773601587505000000,0
workspaceModel.global.updates.count,1773601566998000000,1773601587505000000,0
workspaceModel.load.cache.metadata.from.file.ms,1773601566998000000,1773601587505000000,0
workspaceModel.sync.entities.ms,1773601566998000000,1773601587505000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.instances.count,1773601566998000000,1773601587505000000,1
workspaceModel.global.apply.state.to.project.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.entities.ms,1773601566998000000,1773601587505000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1773601566998000000,1773601587505000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1773601566998000000,1773601587505000000,2
workspaceModel.collect.changes.ms,1773601566998000000,1773601587505000000,0
workspaceModel.init.bridges.ms,1773601566998000000,1773601587505000000,0
workspaceModel.to.snapshot.ms,1773601566998000000,1773601587505000000,0
workspaceModel.initializing.ms,1773601566998000000,1773601587505000000,0
workspaceModel.update.unloaded.entities.ms,1773601566998000000,1773601587505000000,0
workspaceModel.updates.precise.ms,1773601566998000000,1773601587505000000,0
workspaceModel.pre.handlers.ms,1773601566998000000,1773601587505000000,0
workspaceModel.full.replace.project.model.ms,1773601566998000000,1773601587505000000,0
workspaceModel.loading.from.cache.ms,1773601566998000000,1773601587505000000,44
workspaceModel.replace.project.model.ms,1773601566998000000,1773601587505000000,0
workspaceModel.loading.total.ms,1773601566998000000,1773601587505000000,52
workspaceModel.check.recursive.update.ms,1773601566998000000,1773601587505000000,0
workspaceModel.on.before.changed.ms,1773601566998000000,1773601587505000000,0
workspaceModel.updates.ms,1773601566998000000,1773601587505000000,0
workspaceModel.updates.count,1773601566998000000,1773601587505000000,0
workspaceModel.on.changed.ms,1773601566998000000,1773601587505000000,0
writeAction.count,1773601566998000000,1773601587505000000,3
DiskQueryRelay.taskWaitingTotalTimeUs,1773601566998000000,1773601587505000000,56955
writeAction.median.wait.ms,1773601566998000000,1773601587505000000,0
DiskQueryRelay.tasksRequested,1773601566998000000,1773601587505000000,76
DiskQueryRelay.taskExecutionTotalTimeUs,1773601566998000000,1773601587505000000,39400
writeAction.wait.ms,1773601566998000000,1773601587505000000,1
DiskQueryRelay.tasksExecuted,1773601566998000000,1773601587505000000,76
writeAction.max.wait.ms,1773601566998000000,1773601587505000000,1
NonBlockingReadAction.failedExecutionTimeUs,1773601566998000000,1773601587505000000,0
NonBlockingReadAction.failedExecutionsCount,1773601566998000000,1773601587505000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773601566998000000,1773601587505000000,6
